activityId,intermediateOutcomeId,activityText,outputPhrase,reviewStatus
ACT_EBF01BB775,PW_018_IO_01,school campaigns,supported through school campaigns,REVIEW
ACT_C46F24C046,PW_018_IO_02,Establish community safeguarding mechanisms,established for community safeguarding mechanisms,REVIEW
ACT_EAF3A54A7C,PW_018_IO_02,Disseminate reporting options (SMS/radio/posters),supported through disseminate reporting options (SMS/radio/posters),REVIEW
ACT_0E33A4DE91,PW_018_IO_02,train safeguarding focal points,trained in safeguarding focal points,REVIEW
ACT_6A62BA5491,PW_018_IO_03,Stakeholder mapping exercises,supported through stakeholder mapping exercises,REVIEW
ACT_5A061E0F59,PW_018_IO_03,MOUs with police/health/legal aid,supported through mOUs with police/health/legal aid,REVIEW
ACT_66F0029566,PW_018_IO_03,committee reviews & public accountability sessions,supported through committee reviews & public accountability sessions,REVIEW
ACT_AF5A6CC349,PW_018_IO_04,Strengthen community referral pathways,strengthened through community referral pathways,REVIEW
ACT_43F048D6BD,PW_018_IO_04,train community structures on survivor-centred response,trained in community structures on survivor-centred response,REVIEW
ACT_F003E0E078,PW_018_IO_04,communicate safe reporting channels,supported through communicate safe reporting channels,REVIEW
ACT_2A586FCE8D,PW_018_IO_04,engage local service providers.,engaged through local service providers,REVIEW
ACT_D294AF974F,PW_019_IO_01,Evaluate SHG & establish CLA; Govt awareness on CLA role; Follow local legislation to register; Sensitization on stakeholders for safety,evaluated  and CLAs established; Govt awareness on CLA role; Follow local legislation to register; Sensitization on stakeholders for safety,USER_REVIEWED
ACT_A5045655ED,PW_019_IO_01,Participatory planning/budgeting,supported through participatory planning/budgeting,REVIEW
ACT_CA7424DDC5,PW_019_IO_01,digital tools for plan/monitoring,supported through digital tools for plan/monitoring,REVIEW
ACT_AE216E949E,PW_019_IO_02,Training on CLA/co-ops establishment & management,trained in cLA/co-ops establishment & management,REVIEW
ACT_184CC42DA3,PW_019_IO_02,Quotas/rotation,supported through quotas/rotation,REVIEW
ACT_30EB685ADC,PW_019_IO_02,inclusive leadership campaigns,supported through inclusive leadership campaigns,REVIEW
ACT_62FF760D25,PW_019_IO_03,Stakeholder mapping exercises,supported through stakeholder mapping exercises,REVIEW
ACT_A6806DDAC6,PW_019_IO_03,Community scorecards,supported through community scorecards,REVIEW
ACT_34301B41BA,PW_019_IO_03,social audits,supported through social audits,REVIEW
ACT_8EB939D7B5,PW_019_IO_04,Training on group dynamics; group capacity assessment; legalization of CLAs,trained in group dynamics; group capacity assessment; legalization of CLAs,REVIEW
ACT_647D9C4912,PW_019_IO_04,Linkages to local government,supported through linkages to local government,REVIEW
ACT_ED84BC55C4,PW_019_IO_04,succession plans,supported through succession plans,REVIEW
ACT_03D810F90C,PW_019_IO_05,Build capacity of special interest groups,provided through capacity of special interest groups,REVIEW
ACT_49A6481AB1,PW_019_IO_05,support representation in planning forums,supported through representation in planning forums,REVIEW
ACT_7977EA0F20,PW_019_IO_05,strengthen links with local governance structures.,strengthened through links with local governance structures,REVIEW
ACT_D987B9E083,PW_020_IO_01,Conduct policy awareness sessions,reached through policy awareness sessions,REVIEW
ACT_F57212BB64,PW_020_IO_01,translate policy standards into community guidance,supported through translate policy standards into community guidance,REVIEW
ACT_A79075AC51,PW_020_IO_01,"engage local leaders, service providers, and duty-bearers.","engaged through local leaders, service providers, and duty-bearers",REVIEW
ACT_474A90243F,PW_020_IO_02,Support community action planning,supported through community action planning,REVIEW
ACT_FD5AFD38CC,PW_020_IO_02,Support by-law development,supported through by-law development,REVIEW
ACT_717CC199B4,PW_020_IO_02,Support compliance monitoring,supported through compliance monitoring,REVIEW
ACT_478DCD5E0C,PW_020_IO_02,Support links to local authorities,supported through links to local authorities,REVIEW
ACT_03A47C2EF4,PW_020_IO_03,Build advocacy capacity,provided through advocacy capacity,REVIEW
ACT_0FD17A0C13,PW_020_IO_03,support participation in planning and budgeting processes,supported through participation in planning and budgeting processes,REVIEW
ACT_90814EB79D,PW_020_IO_03,facilitate evidence generation and engagement with decision-makers.,supported through evidence generation and engagement with decision-makers,REVIEW
ACT_08C8041ADE,PW_021_IO_01,Training on childcare establishment and management,trained in childcare establishment and management,REVIEW
ACT_D1D04BC735,PW_021_IO_01,Peer men’s groups on caregiving,supported through peer men’s groups on caregiving,REVIEW
ACT_FC426E81F2,PW_021_IO_01,household incentives/competitions,supported through household incentives/competitions,REVIEW
ACT_F308646CCE,PW_021_IO_02,Facilitate household dialogue on unpaid care,supported through household dialogue on unpaid care,REVIEW
ACT_7176B8F1D0,PW_021_IO_02,engage men and boys,engaged through men and boys,REVIEW
ACT_383B96EC68,PW_021_IO_02,support community childcare and labour-saving approaches where feasible.,supported through community childcare and labour-saving approaches where feasible,REVIEW
ACT_3DDD4E697A,PW_022_IO_01,Exposure visit to role models,supported through exposure visit to role models,REVIEW
ACT_E356A6D5DF,PW_022_IO_01,Exchange visits with women/youth/PWD leaders,supported through exchange visits with women/youth/PWD leaders,REVIEW
ACT_9B9052C70F,PW_022_IO_01,engage traditional leaders,engaged through traditional leaders,REVIEW
ACT_4606267E8C,PW_022_IO_02,Community dialogue on inclusive community,supported through community dialogue on inclusive community,REVIEW
ACT_7F5B66EB33,PW_022_IO_02,Quotas/rotation,supported through quotas/rotation,REVIEW
ACT_0A8B33501D,PW_022_IO_02,capacity-building for new leaders,supported through capacity-building for new leaders,REVIEW
ACT_D7D8166E11,PW_022_IO_03,THM and Natural resources,supported through tHM and Natural resources,REVIEW
ACT_CD266930A8,PW_022_IO_03,Public speaking/advocacy training,supported through public speaking/advocacy training,REVIEW
ACT_58603FDDBD,PW_022_IO_03,town-hall engagement,supported through town-hall engagement,REVIEW
ACT_BFADBEDBD3,PW_022_IO_04,Accessibility audits,supported through accessibility audits,REVIEW
ACT_84ED3BECB9,PW_022_IO_04,mentorship for PWD leaders,supported through mentorship for PWD leaders,REVIEW
ACT_063CEB2A95,PW_022_IO_04,partnerships with DPOs,supported through partnerships with DPOs,REVIEW
ACT_42DCC709E7,PW_022_IO_05,Promote household dialogue,reached through promotion of household dialogue,REVIEW
ACT_7539E7A03A,PW_022_IO_05,"strengthen leadership, confidence, negotiation, and decision-making skills","strengthened through leadership, confidence, negotiation, and decision-making skills",REVIEW
ACT_52CD994629,PW_022_IO_05,engage men and household decision-makers.,engaged through men and household decision-makers,REVIEW
ACT_A4118B239E,PW_022_IO_06,Use household dialogue to improve women’s control over income,trained in using household dialogue to improve women’s control over income,USER_REVIEWED
ACT_950DDFEB1C,PW_022_IO_06,Use savings groups to improve women’s control over income,trained in using savings groups to improve women’s control over income,USER_REVIEWED
ACT_B1A49246AE,PW_022_IO_06,Use enterprise support to improve women’s control over income,trained in enterprise support to improve women’s control over income,USER_REVIEWED
ACT_67B844636E,PW_022_IO_06,Use gender-transformative approaches to improve women’s control over income,trained in gender-transformative approaches to improve women’s control over income,USER_REVIEWED
ACT_CF12CF53FD,PW_023_IO_01,Mindset training; Agri-business training,supported through mindset training; Agri-business training,REVIEW
ACT_B7C991F60E,PW_023_IO_01,Exposure visits,supported through exposure visits,REVIEW
ACT_FB2B1797B1,PW_023_IO_01,role-model media,supported through role-model media,REVIEW
ACT_E278491820,PW_023_IO_02,Mentorship programming; Leadership training,supported through mentorship programming; Leadership training,REVIEW
ACT_72A2B6058A,PW_023_IO_02,Career guidance/coaching,supported through career guidance/coaching,REVIEW
ACT_CE15D6A622,PW_023_IO_02,innovation hubs/incubators,supported through innovation hubs/incubators,REVIEW
ACT_122087F771,PW_023_IO_03,Training on THM and Agriculture; Establish Demo gardens; Training on intersectionality,trained in tHM and Agriculture; Establish Demo gardens; Training on intersectionality,REVIEW
ACT_25FA8F0012,PW_023_IO_03,Digital ag skills,supported through digital ag skills,REVIEW
ACT_39CEA13211,PW_023_IO_03,climate-smart starter kits,supported through climate-smart starter kits,REVIEW
ACT_C8C330378B,PW_023_IO_03,link school clubs to mentors/markets,linked through school clubs to mentors/markets,REVIEW
ACT_36D0588CBB,PW_024_IO_01,Stakeholder mapping/links,supported through stakeholder mapping/links,REVIEW
ACT_173EF7C1DD,PW_024_IO_01,Financial literacy & business plan training,supported through financial literacy & business plan training,REVIEW
ACT_7181778A65,PW_024_IO_02,Youth fairs/pitches,supported through youth fairs/pitches,REVIEW
ACT_53FC349814,PW_024_IO_02,Peer learning/mentoring networks,supported through peer learning/mentoring networks,REVIEW
ACT_535571FC91,PW_024_IO_02,market linkages,supported through market linkages,REVIEW
ACT_465311FD37,PW_025_IO_01,Promote Intercropping & Crop Rotation,reached through promotion of intercropping & Crop Rotation,REVIEW
ACT_700AF48F57,PW_025_IO_01,Introduce Agroforestry Systems,reached through introduction of agroforestry Systems,REVIEW
ACT_ABE094F9F7,PW_025_IO_01,Diversify Livestock Species,supported through diversify Livestock Species,REVIEW
ACT_D52D081043,PW_025_IO_01,Establish Community Seed Banks & Nurseries,established for community Seed Banks & Nurseries,REVIEW
ACT_94F7C24573,PW_025_IO_01,Conduct participatory Biodiversity Mapping & Monitoring,reached through participatory Biodiversity Mapping & Monitoring,REVIEW
ACT_2FC22EF6A1,PW_025_IO_01,Train on Ecosystem Services & Functional Diversity,trained in on Ecosystem Services & Functional Diversity,REVIEW
ACT_CD266FEEDC,PW_025_IO_01,Farmer Field Schools & Demonstration Plots on species diversity,Farmer Field Schools & Demonstration Plots setup to showcase species diversity,USER_REVIEWED
ACT_CC9E685393,PW_025_IO_01,Apply Digital & Visual Tools,supported through apply Digital & Visual Tools,REVIEW
ACT_7DBCFCBA56,PW_025_IO_01,Link Diversity to Market Opportunities i.e niche markets for indigenous crops,linked through diversity to Market Opportunities i.e niche markets for indigenous crops,REVIEW
ACT_6D98948B59,PW_025_IO_02,"Promote Composting: Train farmers to make and apply compost using crop residues, kitchen waste, and animal manure.","reached through promotion of composting: Train farmers to make and apply compost using crop residues, kitchen waste, and animal manure",REVIEW
ACT_F5C8709E73,PW_025_IO_02,Train in Green Manuring: Encourage planting of legumes like sunn hemp or cowpeas and incorporating them into the soil.,trained in in Green Manuring: Encourage planting of legumes like sunn hemp or cowpeas and incorporating them into the soil,REVIEW
ACT_7409318D72,PW_025_IO_02,"Practice Mulching: Use crop residues or grass to cover soil, reduce erosion, and retain moisture.","trained in Mulching: Use of crop residues or grass to cover soil, reducing erosion, and retainng moisture.",USER_REVIEWED
ACT_535F8ED254,PW_025_IO_02,Intercropping with nitrogen fixing crops such as beans or groundnuts to improve soil structure and fertility.,trained in the use of ntercropping with nitrogen fixing crops such as beans or groundnuts to improve soil structure and fertility.,USER_REVIEWED
ACT_A47CA0806C,PW_025_IO_02,"Promote proper collection, storage, and application of animal manure.","reached through promotion of proper collection, storage, and application of animal manure",REVIEW
ACT_E09433DCF7,PW_025_IO_02,Facilitate access to soil testing services for customized recommendations for organic and mineral amendments based on soil needs.,supported through access to soil testing services for customized recommendations for organic and mineral amendments based on soil needs,REVIEW
ACT_4D1B057D4F,PW_025_IO_02,"Introduce nitrogen-fixing trees (e.g., Faidherbia albida, Sesbania) and deep-rooted perennials.","reached through introduction of nitrogen-fixing trees (e.g., Faidherbia albida, Sesbania) and deep-rooted perennials",REVIEW
ACT_5B4605B27A,PW_025_IO_03,"Promote use of biofertilizers (e.g., Rhizobium inoculants for legumes).","reached through promotion of use of biofertilizers (e.g., Rhizobium inoculants for legumes)",REVIEW
ACT_D88000DF0A,PW_025_IO_03,Promote rainwater harvesting and drip irrigation to reduce runoff and leaching.,reached through promotion of rainwater harvesting and drip irrigation to reduce runoff and leaching,REVIEW
ACT_BA4AA502FF,PW_025_IO_03,Encourage contour farming and terracing on slopes to prevent erosion.,reached through promotion of contour farming and terracing on slopes to prevent erosion,REVIEW
ACT_377FC51BE9,PW_025_IO_03,Use hands-on learning and demos to showcase soil health practices.,receive hands-on learning and demonstrations to showcasing soil health practices.,USER_REVIEWED
ACT_F56FEB36A8,PW_025_IO_03,"Train farmers to observe soil indicators (earthworms, root depth, water infiltration).","trained in farmers to observe soil indicators (earthworms, root depth, water infiltration)",REVIEW
ACT_B40BD82425,PW_025_IO_03,Use simple scorecards or mobile tools to track progress.,trained in using simple scorecards or mobile tools to track progress.,USER_REVIEWED
ACT_914D349C13,PW_026_IO_01,Balanced diet training,supported through balanced diet training,REVIEW
ACT_366C80F9A8,PW_026_IO_01,Monthly cooking demos,supported through monthly cooking demos,REVIEW
ACT_4F946D8E28,PW_026_IO_01,Visual nutrition charts,supported through visual nutrition charts,REVIEW
ACT_A09E7C7403,PW_026_IO_01,Door-to-door nutrition messaging,supported through door-to-door nutrition messaging,REVIEW
ACT_73A2ED5F9E,PW_026_IO_01,Community recipe development with local foods,supported through community recipe development with local foods,REVIEW
ACT_3A6F2A90A7,PW_026_IO_02,Promote diverse farm production eg crop–livestock integration,reached through promotion of diverse farm production eg crop–livestock integration,REVIEW
ACT_EB7F85649B,PW_026_IO_02,Coordination with local traders/vendors,supported through coordination with local traders/vendors,REVIEW
ACT_DE1C78FFA6,PW_026_IO_02,VSLA support for food purchasing,supported through vSLA support for food purchasing,REVIEW
ACT_FA806A54F0,PW_026_IO_02,Household kitchen/home gardens,supported through household kitchen/home gardens,REVIEW
ACT_3DF80A7F27,PW_026_IO_02,"Introduce biofortified crops eg sweet potato, beans","reached through introduction of biofortified crops eg sweet potato, beans",REVIEW
ACT_82E78ECF2A,PW_026_IO_02,Train vendors to stock nutrient-rich foods,trained in vendors to stock nutrient-rich foods,REVIEW
ACT_B8A71012AB,PW_026_IO_03,Meal planning & child feeding training,supported through meal planning & child feeding training,REVIEW
ACT_82F3F56BAA,PW_026_IO_03,Weekly radio/TV/digital messaging,supported through weekly radio/TV/digital messaging,REVIEW
ACT_4AED4C0209,PW_026_IO_03,Local nutrition champions,supported through local nutrition champions,REVIEW
ACT_293706A338,PW_026_IO_03,Monitor diet diversity separately for women of reproductive age and children <5,have diet diversity monitored separately for women of reproductive age and children <5,USER_REVIEWED
ACT_3B5979342F,PW_026_IO_04,Promote small livestock and poultry for household nutrition,reached through promotion of small livestock and poultry for household nutrition,REVIEW
ACT_A2F7C447F2,PW_026_IO_04,support improved animal health and feeding,supported through improved animal health and feeding,REVIEW
ACT_73C3B66F97,PW_026_IO_04,"integrate nutrition education on eggs, milk, meat, and other animal-source foods.","trained on integrated nutrition including eggs, milk, meat, and other animal-source foods.",USER_REVIEWED
ACT_FA819E0849,PW_026_IO_05,Promote household dialogue on food and income decisions,reached through promotion of household dialogue on food and income decisions,REVIEW
ACT_A19EA9F96C,PW_026_IO_05,engage men and women in nutrition-sensitive agriculture planning,engaged through men and women in nutrition-sensitive agriculture planning,REVIEW
ACT_68F26716D4,PW_026_IO_05,support women’s access to productive resources.,supported through women’s access to productive resources,REVIEW
ACT_80CFD08C14,PW_027_IO_01,"Community workshops on benefits of organic inputs (soil health, productivity, reduced chemical exposure)","on benefits of organic inputs (soil health, productivity, reduced chemical exposure)",USER_REVIEWED
ACT_3669105B57,PW_027_IO_01,"Radio programs, posters, and influencers in local languages","supported through radio programs, posters, and influencers in local languages",REVIEW
ACT_81BDD520A3,PW_027_IO_01,Side-by-side demo plots comparing organic vs conventional inputs,supported through side-by-side demo plots comparing organic vs conventional inputs,REVIEW
ACT_FD11549298,PW_027_IO_01,"Highlight improvements in soil structure, crop health, and yields over time","receive regular reminders of the improvements in soil structure, crop health, and yields they are seeingover time",USER_REVIEWED
ACT_E33809FE7F,PW_027_IO_01,"Training on production of organic inputs (compost, liquid fertilizers, biopesticides, vermicomposting)","trained in production of organic inputs (compost, liquid fertilizers, biopesticides, vermicomposting)",REVIEW
ACT_FFFB684BC8,PW_027_IO_01,Starter kits for composting,supported through starter kits for composting,REVIEW
ACT_6C509E1156,PW_027_IO_01,Incentives/recognition for early adopters,supported through incentives/recognition for early adopters,REVIEW
ACT_C7E1DB1D04,PW_027_IO_01,Work through farmer groups and cooperatives,supported through work through farmer groups and cooperatives,REVIEW
ACT_5C4A8971C1,PW_027_IO_01,Bulk-produce and distribute organic inputs locally,supported through bulk-produce and distribute organic inputs locally,REVIEW
ACT_EFE734F0A2,PW_027_IO_01,Digital platforms with organic “recipes”,supported through digital platforms with organic “recipes”,REVIEW
ACT_A921FFE48D,PW_027_IO_01,Provide reminders/tips for application timing and methods,provided through reminders/tips for application timing and methods,REVIEW
ACT_70CE1FFF42,PW_027_IO_01,"Link organic input adoption to market incentives (organic certification, premium buyers)","linked through organic input adoption to market incentives (organic certification, premium buyers)",REVIEW
ACT_6829E87997,PW_027_IO_01,Track cost savings and income benefits from organic use to reinforce uptake,track cost savings and income benefits from organic use to reinforce uptake,USER_REVIEWED
ACT_B2BEA68B18,PW_027_IO_02,Strengthen Farmer Field Schools (FFS) & demo plots,strengthened through farmer Field Schools (FFS) & demo plots,REVIEW
ACT_A68DE42666,PW_027_IO_02,"Workshops on soil health, climate-smart agriculture, and IPM","supported through workshops on soil health, climate-smart agriculture, and IPM",REVIEW
ACT_64F58D27D7,PW_027_IO_02,Training materials in local languages,supported through training materials in local languages,REVIEW
ACT_7CC87AFDC0,PW_027_IO_02,"Mobile dissemination (SMS, WhatsApp, apps)","supported through mobile dissemination (SMS, WhatsApp, apps)",REVIEW
ACT_6DA216AF57,PW_027_IO_02,Champion farmers as sustainability advocates,supported through champion farmers as sustainability advocates,REVIEW
ACT_65FECE7B09,PW_027_IO_02,Farmer-to-farmer exchanges & innovation contests,supported through farmer-to-farmer exchanges & innovation contests,REVIEW
ACT_189B53FE3E,PW_027_IO_02,"Facilitate access to organic fertilizers, drought-resistant seeds, eco-friendly pesticides","supported through access to organic fertilizers, drought-resistant seeds, eco-friendly pesticides",REVIEW
ACT_9DECE8FF39,PW_027_IO_02,Microloans or subsidies for sustainable inputs,supported through microloans or subsidies for sustainable inputs,REVIEW
ACT_B4C6B933E0,PW_027_IO_02,Link farmers to cooperatives/input suppliers with discounts,linked through farmers to cooperatives/input suppliers with discounts,REVIEW
ACT_70E1A47520,PW_027_IO_02,Collaborate with universities/NGOs/government to pilot & scale new technologies,engaged through universities/NGOs/government to pilot & scale new technologies,REVIEW
ACT_F3C632739B,PW_027_IO_02,"Promote certification schemes (organic, fair trade) and access to premium markets","reached through promotion of certification schemes (organic, fair trade) and access to premium markets",REVIEW
ACT_0C40F4A624,PW_027_IO_02,Support soil fertility mapping and tailored soil management plans,supported through soil fertility mapping and tailored soil management plans,REVIEW
ACT_9DD2A8F37C,PW_027_IO_02,Encourage crop rotation and intercropping to maintain soil health and reduce pests,reached through promotion of crop rotation and intercropping to maintain soil health and reduce pests,REVIEW
ACT_A586EE2E91,PW_027_IO_02,Strengthen local extension systems for continuous advisory services,strengthened through local extension systems for continuous advisory services,REVIEW
ACT_9CFA295FE6,PW_027_IO_03,Use climate-appropriate and improved seed varieties,supported through use climate-appropriate and improved seed varieties,REVIEW
ACT_1612F87370,PW_027_IO_03,Soil fertility management (apply organic manure),supported through soil fertility management (apply organic manure),REVIEW
ACT_25F22445A8,PW_027_IO_03,"Support water harvesting and management (tanks, bunds, drip irrigation)","supported through water harvesting and management (tanks, bunds, drip irrigation)",REVIEW
ACT_A6A6B9BF84,PW_027_IO_03,"Integrated Pest Management (biological, cultural, mechanical, and safe chemical methods)","trained on Integrated Pest Management (biological, cultural, mechanical, and safe chemical methods)",USER_REVIEWED
ACT_0FB2AFCCC5,PW_027_IO_03,"Apply appropriate mechanization (hand-held planters, threshers, irrigation kits)","supported through apply appropriate mechanization (hand-held planters, threshers, irrigation kits)",REVIEW
ACT_59AEC8F64C,PW_027_IO_03,Promote community-managed irrigation systems for equity and sustainability,reached through promotion of community-managed irrigation systems for equity and sustainability,REVIEW
ACT_A96DC75988,PW_027_IO_03,Establish farmer-led pest/disease surveillance groups with rapid response training,established for farmer-led pest/disease surveillance groups with rapid response training,REVIEW
ACT_99C432BFD2,PW_027_IO_04,Strengthen farmer field schools and demonstration plots,strengthened through farmer field schools and demonstration plots,REVIEW
ACT_51189D7BD8,PW_027_IO_04,"train households on crop production planning, improved seed, organic inputs, pest management, and climate-smart practices.","trained in households on crop production planning, improved seed, organic inputs, pest management, and climate-smart practices",REVIEW
ACT_A82374EE89,PW_027_IO_05,Support soil fertility management,supported through soil fertility management,REVIEW
ACT_8DC1BC430C,PW_027_IO_05,Support water conservation,supported through water conservation,REVIEW
ACT_DF3ACC629D,PW_027_IO_05,Support crop diversification,supported through crop diversification,REVIEW
ACT_0A059E82ED,PW_027_IO_05,Support intercropping,supported through intercropping,REVIEW
ACT_82846CB5A4,PW_027_IO_05,Support mulching,supported through mulching,REVIEW
ACT_DD07DE3AA0,PW_027_IO_05,Support composting,supported through composting,REVIEW
ACT_2814054F3C,PW_027_IO_05,Support improved agronomic practices,supported through improved agronomic practices,REVIEW
ACT_80EBB8B925,PW_028_IO_01,"Identify and train lead farmers, peer educators, CAHWs, agro-dealers, and community extension agents","lead farmers, peer educators, CAHWs, agro-dealers, and community extension agents identified and trained",USER_REVIEWED
ACT_F4107FB770,PW_028_IO_01,support coaching and refresher training.,supported through coaching and refresher training,REVIEW
ACT_4D4938F8D0,PW_028_IO_02,Establish farmer field schools,established for farmer field schools,REVIEW
ACT_51AEA22B96,PW_028_IO_02,Establish demonstration plots,established for demonstration plots,REVIEW
ACT_D4C03AFA66,PW_028_IO_02,Establish learning groups,established for learning groups,REVIEW
ACT_3915D719F2,PW_028_IO_02,Establish peer sessions,established for peer sessions,REVIEW
ACT_74D4037E9A,PW_028_IO_02,Establish community exchange visits,established for community exchange visits,REVIEW
ACT_15DAF11C8D,PW_028_IO_03,Support demonstration,supported through demonstration,REVIEW
ACT_4FD7D7132E,PW_028_IO_03,Support mentoring,supported through mentoring,REVIEW
ACT_93AAFEEE67,PW_028_IO_03,Support open learning days,supported through open learning days,REVIEW
ACT_CDB257D5F3,PW_028_IO_03,Support follow-up visits by lead farmers/service providers,supported through follow-up visits by lead farmers/service providers,REVIEW
ACT_F44C3710C2,PW_028_IO_04,Link community actors to local government/private service providers,linked through community actors to local government/private service providers,REVIEW
ACT_10638191B1,PW_028_IO_04,"establish incentives, cost-recovery models, and group ownership of learning systems.","established for incentives, cost-recovery models, and group ownership of learning systems",REVIEW
ACT_B0ACCC6C08,PW_029_IO_01,Promote peer educators,reached through promotion of peer educators,REVIEW
ACT_9412057CD9,PW_029_IO_01,Promote model households,reached through promotion of model households,REVIEW
ACT_526DBBCE59,PW_029_IO_01,Promote open field days,reached through promotion of open field days,REVIEW
ACT_0ECAEDE13F,PW_029_IO_01,Promote exchange visits,reached through promotion of exchange visits,REVIEW
ACT_A4505D4B60,PW_029_IO_01,Promote community learning events,reached through promotion of community learning events,REVIEW
ACT_2228FFD031,PW_029_IO_02,Track peer learning,supported through track peer learning,REVIEW
ACT_BB646D548D,PW_029_IO_02,Track neighbour-to-neighbour sharing,supported through track neighbour-to-neighbour sharing,REVIEW
ACT_23986BC61B,PW_029_IO_02,Track open days,supported through track open days,REVIEW
ACT_28757DE8B2,PW_029_IO_02,Track demonstration sites,supported through track demonstration sites,REVIEW
ACT_35F730A7D9,PW_029_IO_02,Track informal diffusion,supported through track informal diffusion,REVIEW
ACT_E751FDAA0C,PW_029_IO_03,Support follow-up through lead farmers,supported through follow-up through lead farmers,REVIEW
ACT_97F750A5C1,PW_029_IO_03,Support follow-up through groups,supported through follow-up through groups,REVIEW
ACT_6141B06424,PW_029_IO_03,Support follow-up through demonstration households,supported through follow-up through demonstration households,REVIEW
ACT_7AD931CE82,PW_029_IO_03,Support follow-up through community extension actors,supported through follow-up through community extension actors,REVIEW
ACT_307DBE71DA,PW_030_IO_01,Facilitate sustainability planning,supported through sustainability planning,REVIEW
ACT_02828D63E1,PW_030_IO_01,Facilitate local ownership agreements,supported through local ownership agreements,REVIEW
ACT_8A79DF2DB6,PW_030_IO_01,Facilitate cost-recovery mechanisms,supported through cost-recovery mechanisms,REVIEW
ACT_E51B10D298,PW_030_IO_01,Facilitate links with government/private actors,supported through links with government/private actors,REVIEW
ACT_3BCC180E34,PW_030_IO_02,Support peer replication,supported through peer replication,REVIEW
ACT_61F38EBCA0,PW_030_IO_02,Support mentoring,supported through mentoring,REVIEW
ACT_033382F9B8,PW_030_IO_02,Support documentation of models,supported through documentation of models,REVIEW
ACT_0AC23B8D77,PW_030_IO_02,Support community-to-community learning,supported through community-to-community learning,REVIEW
ACT_4FC27908B4,PW_030_IO_03,Strengthen local governance,strengthened through local governance,REVIEW
ACT_AE95172583,PW_030_IO_03,Strengthen service-provider linkages,strengthened through service-provider linkages,REVIEW
ACT_58A8F86DDC,PW_030_IO_03,Strengthen financial mechanisms,strengthened through financial mechanisms,REVIEW
ACT_CCAA4F513C,PW_030_IO_03,Strengthen ownership structures,strengthened through ownership structures,REVIEW
ACT_926B2E6A81,PW_031_IO_01,"Regular vaccination campaigns (poultry, cattle, goats, etc.)","supported through regular vaccination campaigns (poultry, cattle, goats, etc.)",REVIEW
ACT_7577A9DD4D,PW_031_IO_01,"Training in disease prevention, hygiene, and housing","trained in disease prevention, hygiene, and housing",REVIEW
ACT_1DDC07C36A,PW_031_IO_01,Promotion of drought-tolerant forages and feed formulation,reached through promotion of drought-tolerant forages and feed formulation,REVIEW
ACT_BC61E37415,PW_031_IO_01,"Support in building improved housing (poultry coops, goat pens)","supported through in building improved housing (poultry coops, goat pens)",REVIEW
ACT_37B9493598,PW_031_IO_01,Establish community animal health workers / para-vets for local services,established for community animal health workers / para-vets for local services,REVIEW
ACT_C28FF274F8,PW_031_IO_01,"Train farmers in climate-adaptive livestock management (heat stress, water management)","trained in farmers in climate-adaptive livestock management (heat stress, water management)",REVIEW
ACT_7567C4E764,PW_031_IO_02,"Demonstrations of fodder cultivation (Napier, drought-tolerant grasses)","supported through demonstrations of fodder cultivation (Napier, drought-tolerant grasses)",REVIEW
ACT_8DCA5E9659,PW_031_IO_02,Training on feed formulation (using local ingredients),trained in feed formulation (using local ingredients),REVIEW
ACT_019181D4E7,PW_031_IO_02,"Starter kits for poultry (hens, feed, coop materials)","supported through starter kits for poultry (hens, feed, coop materials)",REVIEW
ACT_D2E8BDE278,PW_031_IO_02,Promote silage and haymaking for dry-season feeding,reached through promotion of silage and haymaking for dry-season feeding,REVIEW
ACT_0429EB3706,PW_031_IO_02,Develop local feed enterprises (community-based feed mixing/production units),developed through local feed enterprises (community-based feed mixing/production units),REVIEW
ACT_C3C16D0132,PW_031_IO_03,Training on pasture management and rotational grazing,trained in pasture management and rotational grazing,REVIEW
ACT_4B9AB0F575,PW_031_IO_03,"Promote integrated crop–livestock systems (use of manure, crop residues)","reached through promotion of integrated crop–livestock systems (use of manure, crop residues)",REVIEW
ACT_FF0048E993,PW_031_IO_03,"Promote water harvesting for livestock (troughs, pans)","reached through promotion of water harvesting for livestock (troughs, pans)",REVIEW
ACT_DCF6B51885,PW_031_IO_03,Early warning systems for drought/disease outbreaks shared with livestock keepers,receive access to early warning systems for drought/disease outbreaks,USER_REVIEWED
ACT_B9B0B05356,PW_031_IO_03,Insurance schemes/pilots for livestock loss (index-based insurance models),supported through insurance schemes/pilots for livestock loss (index-based insurance models),REVIEW
ACT_65BDA7BDDC,PW_031_IO_04,Support improved animal health,supported through improved animal health,REVIEW
ACT_A866CFFCD7,PW_031_IO_04,Support vaccination,supported through vaccination,REVIEW
ACT_0C34359AD6,PW_031_IO_04,Support improved feeding,supported through improved feeding,REVIEW
ACT_CA427BF85D,PW_031_IO_04,Support improved housing,supported through improved housing,REVIEW
ACT_F89F397031,PW_031_IO_04,Support improved breeding,supported through improved breeding,REVIEW
ACT_7CA966D60F,PW_031_IO_04,Support access to veterinary inputs and services,supported through access to veterinary inputs and services,REVIEW
ACT_6C4330E255,PW_032_IO_01,Grain bank construction & labour mobilization,supported through grain bank construction & labour mobilization,REVIEW
